menu_id,name_ko,name_en,stage,unlock_level,sweet,salty,spicy,sour,umami,phases,recommended_dishware,key_ingredients,dlc
t1_002,라면,Ramyeon,intro,1,0.2,0.5,0.6,0.1,0.6,boil;season,sagi;pot,ramyeon|scallion|egg,
t1_004,김밥,Gimbap,intro,1,0.3,0.5,0.1,0.2,0.5,roll;cut,namban,seaweed|rice|danmuji|veg,
m_egg_steam,계란찜,Steamed Egg,intro,1,0.2,0.5,0.1,0.1,0.6,boil;season,onggi,egg|saeujeot|scallion,
m_kongnamul_soup,콩나물국,Bean Sprout Soup,intro,1,0.1,0.5,0.2,0.1,0.6,boil,sagi,beansprout|anchovy|garlic,
m_miyeok_soup,미역국,Seaweed Soup,intro,2,0.1,0.5,0.0,0.1,0.7,boil,sagi,seaweed|beef|soysauce,
t1_003,떡볶이,Tteokbokki,intro,2,0.5,0.5,0.8,0.1,0.5,boil;season,namban,ricecake|fishcake|gochujang,
t1_005,김치볶음밥,Kimchi Fried Rice,intro,2,0.2,0.5,0.6,0.3,0.5,stir;season,sagi;modern,rice|kimchi|egg,
m_mandu,만두,Mandu,intro,2,0.2,0.5,0.3,0.2,0.6,fold;steam,baekja;namban,dumplingskin|pork|chive,
t1_008,잔치국수,Janchi Guksu,intro,3,0.2,0.5,0.2,0.2,0.7,boil;season,sagi,somen|anchovybroth|garnish,
t1_006,해물파전,Haemul Pajeon,intro,3,0.2,0.5,0.3,0.3,0.6,panfry,namban,batter|scallion|seafood,
t1_007,콘도그,Corn Dog,intro,3,0.5,0.4,0.2,0.3,0.4,dip;deepfry,namban;paper,sausage|batter|sugar,
m_kimchi_jjigae,김치찌개,Kimchi Stew,home,4,0.2,0.6,0.7,0.3,0.7,boil;season,onggi,agedkimchi|pork|tofu,
m_doenjang_jjigae,된장찌개,Doenjang Stew,home,4,0.1,0.6,0.3,0.1,0.8,boil;season,onggi,doenjang|zucchini|tofu,
t2_013,순두부찌개,Sundubu Jjigae,home,4,0.1,0.6,0.7,0.2,0.7,boil;season,onggi,softtofu|gochugaru|egg,
t2_008,비빔밥,Bibimbap,home,5,0.2,0.5,0.5,0.2,0.6,mix;cut,dolsot,rice|namul|beef|egg,
m_jeyuk,제육볶음,Spicy Pork,home,5,0.4,0.6,0.8,0.2,0.6,stir;season,modern;namban,pork|gochujang|onion,
m_dakgalbi,닭갈비,Dak-galbi,home,5,0.4,0.6,0.8,0.2,0.6,stir;season,castiron;modern,chicken|gochujang|ricecake|cabbage,
t2_010,잡채,Japchae,home,5,0.5,0.5,0.1,0.1,0.7,stir;season,baekja,glassnoodle|veg|beef,
m_galbitang,갈비탕,Galbi-tang,home,6,0.1,0.5,0.0,0.1,0.8,boil_long,baekja;yugi,beefrib|radish|glassnoodle,
m_samgyetang,삼계탕,Samgyetang,home,6,0.1,0.4,0.1,0.1,0.8,boil_tonic,onggi;yugi,chicken|ginseng|sweetrice|jujube,
t2_014,불고기,Bulgogi,home,6,0.5,0.6,0.2,0.1,0.7,marinate;stir,yugi;modern,beef|soysauce|pear|garlic,
t2_012,갈비구이,Galbi-gui,buzz,7,0.5,0.6,0.2,0.1,0.7,marinate;grill,yugi,beefrib|soysauce|sugar|garlic,
m_budae_jjigae,부대찌개,Budae Jjigae,buzz,7,0.3,0.6,0.7,0.2,0.7,boil;season,castiron;onggi,ham|sausage|kimchi|ramen,
m_bossam,보쌈,Bossam,buzz,7,0.2,0.5,0.3,0.3,0.7,boil;cut,baekja;namban,porkbelly|saeujeot|wraps,
m_buchujeon,부추전,Buchu Jeon,buzz,7,0.1,0.5,0.3,0.3,0.5,panfry,namban,chive|batter|seafood,
m_jokbal,족발,Jokbal,buzz,8,0.3,0.6,0.2,0.2,0.8,boil_long;cut,baekja;namban,porkfeet|soysauce|spices,
m_tteokgalbi,떡갈비,Tteok-galbi,buzz,8,0.5,0.6,0.2,0.1,0.8,mince;grill,yugi;baekja,mincedrib|soysauce|pear,
m_maeuntang,매운탕,Spicy Fish Stew,buzz,8,0.1,0.6,0.8,0.3,0.8,boil;season,onggi,fish|gochugaru|radish|crown_daisy,
m_kongnamul_gukbap,콩나물국밥,Kongnamul Gukbap,buzz,9,0.1,0.6,0.4,0.2,0.7,boil;season,onggi;dolsot,beansprout|rice|egg|saeujeot,
m_galbijjim,갈비찜,Galbi-jjim,buzz,9,0.5,0.6,0.2,0.1,0.8,marinate;braise,yugi;baekja,beefrib|soysauce|chestnut|jujube,
m_dakbokkeumtang,닭볶음탕,Dak-bokkeumtang,buzz,9,0.4,0.6,0.8,0.2,0.7,boil;season,castiron;onggi,chicken|gochujang|potato|carrot,
m_gujeolpan,구절판,Gujeolpan,master,10,0.3,0.4,0.1,0.2,0.7,cut_precise;roll,luxury_ceramic;yugi,nine_veg|crepe|beef,
m_gungjung_tteok,궁중떡볶이,Royal Tteokbokki,master,10,0.4,0.6,0.1,0.1,0.8,stir;season,yugi;baekja,ricecake|soysauce|beef|veg,
m_jatjuk,잣죽,Pine Nut Porridge,master,10,0.3,0.3,0.0,0.0,0.7,boil_fine,baekja,pinenut|rice|water,
m_eojeon,어전,Fish Jeon,master,11,0.1,0.5,0.1,0.2,0.7,cut;panfry_precise,baekja;yugi,whitefish|egg|flour,
m_sanjeok,산적,Sanjeok Skewers,master,11,0.4,0.6,0.2,0.1,0.7,skewer;grill,yugi,beef|bellflower|scallion|carrot,
m_juksunchae,죽순채,Bamboo Shoot Salad,master,11,0.3,0.5,0.2,0.4,0.7,cut;mix,baekja,bambooshoot|beef|veg,
m_baekkimchi,백김치,White Kimchi,master,11,0.3,0.4,0.0,0.5,0.6,salt;mix,onggi;baekja,napa|pear|radish|ginger,
m_yaksik,약식,Yaksik,master,12,0.7,0.3,0.0,0.0,0.5,steam;mix,luxury_ceramic,sweetrice|jujube|chestnut|honey,
m_sinseollo,신선로,Sinseollo,master,12,0.2,0.5,0.2,0.2,0.9,boil;arrange_precise,yugi;sinseollo,assorted|broth,
m_hanjeongsik_course,한정식 코스,Hanjeongsik Course,master,12,0.3,0.5,0.3,0.2,0.8,multi_course,luxury_ceramic;yugi,course_set,
