ingredient_id,name_ko,name_en,store_type,used_in_foods,is_distractor_friendly,distractor_weight,is_basic_pantry,cut_variations,notes
ing_p_001,파,Green Onion,produce,t1_002;t1_003;t1_005;t1_006;t1_008;t2_013;t2_014,true,3,false,CUT-05;CUT-03,쪽파(t1_006 별도)와 시각 유사; 한식 base; 잔치국수 송송썰기 hero CUT-05 (N-1 sync 2026-05-30); 불고기 대파 (N-2 sync 2026-05-30); cut_variations=송송썰기 CUT-05 (라면·해물파전·잔치국수 primary) + 어슷썰기 CUT-03 (불고기 garnish)
ing_p_002,쪽파,Chive Onion,produce,t1_006,true,2,false,CUT-05,파(ing_p_001)와 디스트랙터 페어; 해물파전 송송 CUT-05
ing_p_003,양파,Onion,produce,t1_003;t1_006;t2_010;t2_014,true,3,false,CUT-02;CUT-06,한식 base; 잡채/떡볶이/해물파전 공용; 불고기 채썰기 CUT-02 부 hero (N-2 신규 2026-05-30); 김치찌개 t2_009 used_in_foods 제거; cut_variations=채썰기 CUT-02 (잡채·불고기) + 깍둑썰기 CUT-06 (떡볶이·해물파전 비주얼 다양화)
ing_p_004,부추,Korean Chive,produce,t1_006,true,2,false,CUT-05,쪽파와 시각 디스트랙터 페어; 송송썰기 CUT-05
ing_p_005,마늘,Garlic,produce,t2_012,true,2,false,CUT-01,갈비 양념 통마늘; 다지기 CUT-01 hero (M2-D2 lock, 140 BPM × 6 taps)
ing_p_006,배,Korean Pear,produce,t2_012;t2_014,false,1,false,CUT-02,갈비 양념(연육) + 불고기 양념(연육·단맛) — 사용자 명시 재료; 채썰기 CUT-02 후보
ing_p_007,시금치,Spinach,produce,t1_004;t2_008;t2_010,true,2,false,CUT-04,비빔밥/잡채 색감 핵심; 통썰기 CUT-04 (살짝 데친 후 줄기 통)
ing_p_008,콩나물,Bean Sprout,produce,t2_008,true,2,false,,비빔밥 식감; cut 없음 (whole 그대로 무침)
ing_p_009,당근,Carrot,produce,t2_008;t2_010;t2_014,true,2,false,CUT-02;CUT-06,비빔밥/잡채/불고기 색감 (N-2 sync 2026-05-30); 채썰기 CUT-02 hero (비빔밥 115 BPM·5 / 잡채 120 BPM·6 M2-D2 lock) + 깍둑썰기 CUT-06 대안
ing_p_010,표고버섯,Shiitake,produce,t2_010;t2_014,false,1,false,CUT-02,잡채/불고기 깊은 맛 (N-2 sync 2026-05-30); 채썰기 CUT-02
ing_p_011,호박,Korean Zucchini,produce,t2_013,true,2,false,CUT-04;CUT-03,순두부찌개 채소; 애호박; 호박색 변별; 통썰기 CUT-04 hero (M2-D2 lock 80 BPM·4 taps) + 어슷썰기 CUT-03 대안
ing_p_012,애호박,Young Korean Zucchini,produce,t1_008,true,2,false,CUT-04;CUT-03,잔치국수 채썰기/통썰기 채소 (N-1 신규 2026-05-30); 호박(ing_p_011)과 시각 디스트랙터 페어 — 동일 채소 변종 (잔치국수=어린 애호박 fresh, 순두부찌개=호박 일반); 통썰기 CUT-04 대안 hero (잔치국수 사용자 confirm 시 70 BPM·3 taps 활성화 — 대파 110 BPM·4 와 swap)
ing_m_001,소시지,Sausage,meat,t1_007,false,2,false,,콘도그 핵심; 한국식 콘도그는 소시지+모짜렐라 hybrid; 콘도그 Stage 2A는 cut 메커닉 X (반죽 dip substitute, motion-spec §3.10)
ing_m_002,햄,Ham,meat,t1_004;t1_005,true,2,false,CUT-02;CUT-06,김밥/볶음밥 공용; 소시지와 디스트랙터 페어; 채썰기 CUT-02 (김밥 strip) + 깍둑썰기 CUT-06 (볶음밥 cube)
ing_m_004,소고기,Beef,meat,t2_008;t2_010,true,2,false,CUT-01;CUT-02,비빔밥/잡채 잘게 다짐; 김치찌개 t2_009 used_in_foods 제거(N-2; 돼지고기 ing_m_003도 같이 제거); 다지기 CUT-01 (비빔밥 minced) + 채썰기 CUT-02 (잡채 strip)
ing_m_005,LA갈비,LA Galbi,meat,t2_012,false,3,false,,사용자 명시; 갈비구이 핵심; bone-in cross-cut; Stage 2A cut 메커닉 X (마늘 다지기 hero — ing_p_005); LA갈비는 whole 그대로 굽기
ing_m_006,꽃갈비,Premium Galbi,meat,t2_012,false,3,false,,사용자 명시; LA갈비와 시각 유사 디스트랙터 페어; cut 없음
ing_m_007,얇은 소고기,Thin-Sliced Beef,meat,t2_014,false,3,false,CUT-00,불고기 hero ingredient (N-2 신규 2026-05-30); thin-sliced marbled sirloin fanned arrangement; 소고기(ing_m_004)와 시각 디스트랙터 페어 — 다짐 vs 얇은 슬라이스 변별; art-director anchor 신규 작성 대상; CUT-00 양념재우기 marinade rhythm hero (M2-D2 lock 60 BPM·3 taps)
ing_s_001,김,Dried Seaweed,seafood,t1_004;t1_008,true,2,false,,김밥 외피; 잔치국수 고명 (N-1 sync 2026-05-30); 어물전 SKU; cut 없음 (가위 자르기 post-launch 후보)
ing_s_002,어묵,Fish Cake,seafood,t1_003,true,3,false,CUT-03;CUT-04,떡볶이 핵심; 단무지와 디스트랙터 페어 가능; 어슷썰기 CUT-03 hero (M2-D2 lock 100 BPM·5 taps) + 통썰기 CUT-04 대안
ing_s_003,오징어,Squid,seafood,t1_006,true,2,false,CUT-04,해물파전 사용자 명시; 통썰기 CUT-04 (ring slice)
ing_s_004,새우,Shrimp,seafood,t1_006,true,2,false,,해물파전 사용자 명시; 멸치와 디스트랙터 페어; cut 없음 (whole)
ing_s_005,조개,Clam,seafood,t1_006,true,2,false,,해물파전 사용자 명시; 바지락 포함 표현; cut 없음 (whole)
ing_s_006,멸치,Anchovy,seafood,t1_008;t2_013,true,3,false,,순두부찌개 육수 + 잔치국수 육수 hero (N-1 신규 2026-05-30); 새우와 디스트랙터 페어; T2 어물전 floor +1 핵심 SKU + T1 어물전 floor 5 유지 핵심; cut 없음 (whole 마른 멸치)
ing_g_001,라면사리,Ramyeon Noodle,grain,t1_002,false,2,false,,라면 핵심; cut 없음 (라면사리 그대로 끓이기, 파는 별도 ing_p_001 CUT-05 hero)
ing_g_002,밥,Cooked Rice,grain,t1_004;t1_005;t2_008,true,2,false,,김밥/볶음밥/비빔밥 공용; cut 없음 (whole 밥)
ing_g_003,떡,Tteok (Rice Cake),grain,t1_003,false,3,false,CUT-04,떡볶이 핵심; 흰 윤기; 통썰기 CUT-04 (가래떡 단면 slice) — 디자인 대안 (어묵 ing_s_002가 primary cut hero)
ing_g_005,부침가루,Pancake Mix,grain,t1_006;t1_007,true,3,false,,해물파전/콘도그 공용; (호떡 supersede로 밀가루 ing_g_004 제거 후 가루 클러스터 잔여); cut 없음 (가루); 콘도그 Stage 2A의 batter dip substitute (M2-D2 prep_ingredient_id 매핑)
ing_g_006,빵가루,Bread Crumb,grain,t1_007,false,1,false,,콘도그 외피; cut 없음 (가루)
ing_g_007,당면,Glass Noodle,grain,t2_010,false,3,false,,잡채 핵심; 곡물 단독 SKU; cut 없음 (당면 그대로 불려 볶기, 당근 ing_p_009 CUT-02가 primary cut hero)
