menu_id,name_en,lv2_cumxp,lv3_cumxp,lv4_cumxp,lv5_cumxp,lv6_cumxp,lv7_cumxp,lv8_cumxp,lv9_cumxp,lv10_cumxp,lv2_reward,lv3_reward,lv4_reward,lv5_reward,lv6_reward,lv7_reward,lv8_reward,lv9_reward,lv10_reward,signature_line
t1_002,Ramyeon,100,250,450,700,1000,1400,1900,2500,3200,coin_300,signature_line,coin_500,perfect_window_plus_5ms,coin_800,signature_dish_glow,coin_1200,reward_bonus_perm_0.05,signature_max_title,Slurp! Springy and bold.
t1_004,Gimbap,100,250,450,700,1000,1400,1900,2500,3200,coin_300,signature_line,coin_500,perfect_window_plus_5ms,coin_800,signature_dish_glow,coin_1200,reward_bonus_perm_0.05,signature_max_title,Neat tight rolls only.
t1_003,Tteokbokki,120,280,500,780,1120,1540,2040,2640,3360,coin_300,signature_line,coin_500,perfect_window_plus_5ms,coin_800,signature_dish_glow,coin_1200,reward_bonus_perm_0.05,signature_max_title,Sticky sweet heat hits.
t1_008,Janchi Guksu,100,250,450,700,1000,1400,1900,2500,3200,coin_300,signature_line,coin_500,perfect_window_plus_5ms,coin_800,signature_dish_glow,coin_1200,reward_bonus_perm_0.05,signature_max_title,Bright clean broth flows.
m_kimchi_jjigae,Kimchi Stew,120,280,500,780,1120,1540,2040,2640,3360,coin_300,signature_line,coin_500,perfect_window_plus_5ms,coin_800,signature_dish_glow,coin_1200,reward_bonus_perm_0.05,signature_max_title,Bubbling sour fire ready.
t2_008,Bibimbap,140,320,560,860,1220,1660,2200,2840,3600,coin_400,signature_line,coin_650,perfect_window_plus_5ms,coin_1000,signature_dish_glow,coin_1500,reward_bonus_perm_0.05,signature_max_title,All five colors shine.
m_doenjang_jjigae,Doenjang Stew,140,320,560,860,1220,1660,2200,2840,3600,coin_400,signature_line,coin_650,perfect_window_plus_5ms,coin_1000,signature_dish_glow,coin_1500,reward_bonus_perm_0.05,signature_max_title,Deep earthy comfort served.
t2_010,Japchae,160,360,620,940,1320,1780,2340,3000,3780,coin_400,signature_line,coin_650,perfect_window_plus_5ms,coin_1000,signature_dish_glow,coin_1500,reward_bonus_perm_0.05,signature_max_title,Glassy strands glisten just right.
t2_014,Bulgogi,160,360,620,940,1320,1780,2340,3000,3780,coin_400,signature_line,coin_650,perfect_window_plus_5ms,coin_1000,signature_dish_glow,coin_1500,reward_bonus_perm_0.05,signature_max_title,Smoky sweet beef perfection.
t1_006,Haemul Pajeon,120,280,500,780,1120,1540,2040,2640,3360,coin_300,signature_line,coin_500,perfect_window_plus_5ms,coin_800,signature_dish_glow,coin_1200,reward_bonus_perm_0.05,signature_max_title,Crisp edges seafood pop.
m_maeuntang,Spicy Fish Stew,140,320,560,860,1220,1660,2200,2840,3600,coin_400,signature_line,coin_650,perfect_window_plus_5ms,coin_1000,signature_dish_glow,coin_1500,reward_bonus_perm_0.05,signature_max_title,Roaring red broth boils.
t2_013,Sundubu Jjigae,140,320,560,860,1220,1660,2200,2840,3600,coin_400,signature_line,coin_650,perfect_window_plus_5ms,coin_1000,signature_dish_glow,coin_1500,reward_bonus_perm_0.05,signature_max_title,Silken tofu in red broth.
