food_id,name_ko,name_en,tier,module_sequence,step_count,signature_step,notes
t1_002,라면,Ramyeon,1,slice|timing|season|plate,4,timing,대파 송송 → 면+스프 끓이기 9s → 계란/김 garnish → 노란 양은냄비/사발
t1_003,떡볶이,Tteokbokki,1,slice|season|stir|timing|plate,5,stir+season,어묵 어슷 → 고추장 1-tap → 졸이기 stir → 빨간 윤기 timing → 분식 접시
t1_004,김밥,Kimbap,1,arrange|roll|slice|plate,4,roll,5색 재료 정렬 → 김발 swipe roll → 통썰기 cut → 도마 layout plate
t1_005,김치볶음밥,Kimchi Fried Rice,1,slice|stir|timing|plate,4,stir,김치 깍둑 → wok stir → 볶기 timing → 둥근 접시 + 계란프라이
t1_006,해물파전,Haemul Pajeon,1,slice|flip|timing|plate,4,flip,쪽파 송송 → flip (MVP single tap C-3 lock) → panfry timing → 부침개 도마 + 간장 dip
t1_007,한국식 콘도그,Korean Corn Dog,1,slice|flip|timing|plate,4,flip,batter dip DIP-00 → 회전 dip flip → 튀김 timing 8s → 꼬치 stand + 설탕/케첩
t1_008,잔치국수,Janchi Guksu,1,slice|timing|arrange|plate,4,timing+arrange,대파 송송 → 육수 끓이기 12s → 고명 정렬 (계란지단·김·쪽파) → 흰 사발
t2_008,비빔밥,Bibimbap,2,slice|arrange|season|stir|plate,5,arrange+stir,당근 채썰기 → 6색 정렬 → 고추장 1-tap → 비비기 stir → 놋그릇 + 참깨
t2_010,잡채,Japchae,2,slice|arrange|stir|timing|plate,5,stir,당근 채썰기 → 6색 정렬 → 당면 toss stir → 볶기 timing 16s → 백자 접시
t2_012,갈비구이,Galbi-gui,2,slice|season|timing|flip|plate,5,timing,마늘 다지기 140 BPM → 양념 1-tap (간장+설탕+참기름) → grill timing perfect_width 0.04 → 양면 flip → 긴 grill 플레이트
t2_013,순두부찌개,Sundubu Jjigae,2,slice|timing|season|plate,4,timing,호박 통썰기 → 뚝배기 끓이기 14s → 양념 1-tap → 검은 뚝배기 + 계란
t2_014,불고기,Bulgogi,2,season|slice|stir|timing|plate,5,season,양념재우기 MAR-00 60 BPM × 3 press → (양파 채썰기 alpha 후) → 양념 코팅 stir → 볶기 timing 16s → 무쇠 그릇 + 쪽파
